produto;fornecedor;produto_nome;categoria;sub_categoria
"D7BB:1!_>)""CYKQY$W""'-!";Fornecedor 12;Produto 58;Categoria 1;Subcategoria C1.1
EZ\&BT]1[4D<NJVW@K%6Z+;Fornecedor 20;Produto 59;Categoria 1;Subcategoria C1.1
"E^EJ!6ANL&^<S%3Y""I09<#";Fornecedor 4;Produto 60;Categoria 1;Subcategoria C1.1
"E^='G)C]B@^<S',[9*LM8""";Fornecedor 10;Produto 61;Categoria 1;Subcategoria C1.1
"HBTGYV<&=,B;[<R=:T]I?#";Fornecedor 2;Produto 62;Categoria 1;Subcategoria C1.1
"EV+OE[K*I.^<%;PNYA[W[&";Fornecedor 4;Produto 63;Categoria 1;Subcategoria C1.1
E&43*&V:HW=:`Q(535(`D,;Fornecedor 4;Produto 64;Categoria 1;Subcategoria C1.1
"E&T;K+NWS.$:`I[#%6J""7-";Fornecedor 4;Produto 65;Categoria 1;Subcategoria C1.1
"H4]V]+QEZ+)[06_TTX-3;'";Fornecedor 2;Produto 66;Categoria 1;Subcategoria C1.1
"M5-RAK_<3%O!TL_T!#%#'""";Fornecedor 21;Produto 67;Categoria 5;Subcategoria C5.1
L)W=AI7[J.WDF67K5=%Y&&;Fornecedor 10;Produto 68;Categoria 1;Subcategoria C1.1
L]3I+)7+OJ&D/:U5.K*EK%;Fornecedor 22;Produto 69;Categoria 1;Subcategoria C1.1
"JX';%I#9@`F;`TG1?+XW)*";Fornecedor 23;Produto 70;Categoria 2;Subcategoria C2.2
"JX_(MGUAM:=;`B4MKK@HQ,";Fornecedor 23;Produto 71;Categoria 2;Subcategoria C2.2
J6+7]VCSTAP[+*/*IT)J&&;Fornecedor 23;Produto 72;Categoria 2;Subcategoria C2.2
"JTN*4_+Q]K3;7/<@6??AZ)";Fornecedor 23;Produto 73;Categoria 2;Subcategoria C2.2
I`6>CV\*\`X/7BI&I/`'?#;Fornecedor 4;Produto 74;Categoria 1;Subcategoria C1.1
I`V$`E4T9[%/7Z0Z3-:@_%;Fornecedor 4;Produto 75;Categoria 1;Subcategoria C1.1
"IB[:@9""1X_%OT(\P[N%0,0";Fornecedor 4;Produto 76;Categoria 1;Subcategoria C1.1
"L;/3K5IN0F&$$?N2&AN_!0";Fornecedor 22;Produto 77;Categoria 1;Subcategoria C1.1
"O</E:U6;\O5NBI]C[<SOZ,";Fornecedor 5;Produto 78;Categoria 1;Subcategoria C1.1
I$X>H+BVC>\/`568W8YD$(;Fornecedor 12;Produto 79;Categoria 1;Subcategoria C1.1
MSPEXSG:</2AH?E-&91N.*;Fornecedor 21;Produto 80;Categoria 5;Subcategoria C5.1
MSHDB])=`75AHIK@KY*@/-;Fornecedor 24;Produto 81;Categoria 5;Subcategoria C5.1
"M1<KG]=/8_^!=02DS-""E0(";Fornecedor 24;Produto 82;Categoria 5;Subcategoria C5.1
IV(1'MT&+$CO5MUH!_UC5+;Fornecedor 12;Produto 83;Categoria 1;Subcategoria C1.1
"MW!D1<1+,^;A_#@OB-RI)(";Fornecedor 21;Produto 84;Categoria 5;Subcategoria C5.1
"O^^_/WVUO73;""0.YOL<H0-";Fornecedor 10;Produto 85;Categoria 1;Subcategoria C1.1
"O^VMWUH^\Q);""BA=C,TWH*";Fornecedor 10;Produto 86;Categoria 1;Subcategoria C1.1
L%>OT5`&V6]D]8D&BS2J@.;Fornecedor 25;Produto 87;Categoria 1;Subcategoria C1.1
"J2Z8D.Z""%SF[BF\:WI,(]/";Fornecedor 23;Produto 88;Categoria 2;Subcategoria C2.2
"J\89>1M)0OP;I8Z`06U930";Fornecedor 26;Produto 89;Categoria 2;Subcategoria C2.2
"J\(UM.1;JC=;IL&G;7H]G,";Fornecedor 23;Produto 90;Categoria 2;Subcategoria C2.2
"J\@\X=KZ9#';I:S""HW0N//";Fornecedor 23;Produto 91;Categoria 2;Subcategoria C2.2
J:<56?-DD0Z[TE4H,`HN+(;Fornecedor 27;Produto 92;Categoria 2;Subcategoria C2.2
"F?K,961A4*THJW`H1D;]K0";Fornecedor 28;Produto 93;Categoria 2;Subcategoria C2.2
"E@^^0J>-:$4ZOEKC.N:):""";Fornecedor 4;Produto 94;Categoria 1;Subcategoria C1.1
"O^3[ZH$X:T5.ND$G#G/5D""";Fornecedor 5;Produto 95;Categoria 1;Subcategoria C1.1
O0D\G]G`?W8N+/)5$),&*-;Fornecedor 5;Produto 96;Categoria 1;Subcategoria C1.1
O0DKERW&)),N+?CW@'(A<0;Fornecedor 5;Produto 97;Categoria 1;Subcategoria C1.1
O]PSZ$$YN+.I[UN=N^F4V!;Fornecedor 29;Produto 98;Categoria 2;Subcategoria C2.2
"F;*J/K+""_/7H3WL/<OI`7""";Fornecedor 30;Produto 99;Categoria 2;Subcategoria C2.2
M-+M.5T>H0U!B]!*)KDW*-;Fornecedor 31;Produto 100;Categoria 5;Subcategoria C5.1
"M-;B!C`&E*5!B1.P3L7[5.";Fornecedor 24;Produto 101;Categoria 5;Subcategoria C5.1
"I85Y_AP:<NL/A>V8DH8WT""";Fornecedor 10;Produto 102;Categoria 1;Subcategoria C1.1
"L?EH^L$S%F_F^:""EKE:QG!";Fornecedor 10;Produto 103;Categoria 1;Subcategoria C1.1
D-L+',C@&L?#FUL,QN`'O&;Fornecedor 25;Produto 104;Categoria 1;Subcategoria C1.1
"E""[""9<^R%C*:[JXY[8P`-&";Fornecedor 4;Produto 105;Categoria 1;Subcategoria C1.1
"O0<9-QI/6C""N+QV;4G?0K""";Fornecedor 5;Produto 106;Categoria 1;Subcategoria C1.1
LCY0S<:-,[6$REJ4HH4B[,;Fornecedor 25;Produto 107;Categoria 1;Subcategoria C1.1
DKOV\.3!$?<C:P?V#$KP$.;Fornecedor 25;Produto 108;Categoria 1;Subcategoria C1.1
"JH#SC2-0XS,;<6L[M;W@10";Fornecedor 32;Produto 109;Categoria 2;Subcategoria C2.2
"JHCJ""-5SL<F;<.?J?<9C#!";Fornecedor 32;Produto 110;Categoria 2;Subcategoria C2.2
"JHS?U:A;I6&;<JXAX<JD<!";Fornecedor 32;Produto 111;Categoria 2;Subcategoria C2.2
"LCI;`..E/!W$R1>N=GA>P+";Fornecedor 25;Produto 112;Categoria 1;Subcategoria C1.1
"L%N""C-L[$T#D]\*/)S!)^""";Fornecedor 25;Produto 113;Categoria 1;Subcategoria C1.1
"L?0M3[VP:)]$MZSPIL-$'""";Fornecedor 4;Produto 114;Categoria 1;Subcategoria C1.1
"LCN4_3@L""O_FGDT>;1BF4&";Fornecedor 10;Produto 115;Categoria 1;Subcategoria C1.1
"LC^XO6\:H,\FGX`$F25*I""";Fornecedor 10;Produto 116;Categoria 1;Subcategoria C1.1
L%+AH+XNYV%&SATCZ\9@Z*;Fornecedor 33;Produto 117;Categoria 1;Subcategoria C1.1
"A)P,:+^R.#&<J;KF\4$2N#";Fornecedor 4;Produto 118;Categoria 1;Subcategoria C1.1
AQ\WZH')Q/V<377ZMW&W6/;Fornecedor 34;Produto 119;Categoria 1;Subcategoria C1.1
"H:7""""5[X""`][>8E7T,,KK0";Fornecedor 4;Produto 120;Categoria 1;Subcategoria C1.1
"H\C[\4G&K84;\$C',0DP-*";Fornecedor 4;Produto 121;Categoria 1;Subcategoria C1.1
"H>PCU)C:\"">['VCWNY&$M!";Fornecedor 4;Produto 122;Categoria 1;Subcategoria C1.1
C/F3S(0!1&TOCQ4-8T/0B#;Fornecedor 13;Produto 123;Categoria 1;Subcategoria C1.1
C/&<4.(><=:OCI'\)UQR=/;Fornecedor 13;Produto 124;Categoria 1;Subcategoria C1.1
"CQ""@<`G#(\0/!23HSU2O]/";Fornecedor 13;Produto 125;Categoria 1;Subcategoria C1.1
"NA;6/A3V,!3=B3)WHCT>P.";Fornecedor 35;Produto 126;Categoria 2;Subcategoria C2.2
NA[>PF+388Y=B+\E:D6!L*;Fornecedor 35;Produto 127;Categoria 2;Subcategoria C2.2
"NA35YJUXP)6=B5""Y_$0SL-";Fornecedor 35;Produto 128;Categoria 2;Subcategoria C2.2
K%8@ENX],O0HEZEL!B8?H,;Fornecedor 36;Produto 129;Categoria 2;Subcategoria C2.2
"KGT;,;@&MV@(Q/-E++JQN#";Fornecedor 36;Produto 130;Categoria 2;Subcategoria C2.2
KK%:E#*W<EJ((T''H_*MI!;Fornecedor 37;Produto 131;Categoria 2;Subcategoria C2.2
"G(*!;Z$>O2QJ:XBVZ""9G+""";Fornecedor 38;Produto 132;Categoria 2;Subcategoria C2.2
"D?=%SW8#/38@[H="">1.7%#";Fornecedor 35;Produto 133;Categoria 2;Subcategoria C2.2
D?MICZTQT>K@[$WYV1?8>#;Fornecedor 39;Produto 134;Categoria 2;Subcategoria C2.2
"D(/H1!-&""^?=`_4;M5KVJ/";Fornecedor 40;Produto 135;Categoria 2;Subcategoria C2.2
G(23S[25BXZJ:F/2'C!X\/;Fornecedor 38;Produto 136;Categoria 2;Subcategoria C2.2
"GR8=DZ;V4#H*P+0#7F>]C'";Fornecedor 38;Produto 137;Categoria 2;Subcategoria C2.2
"K]M1;<7EZKSH;J,T['-L',";Fornecedor 41;Produto 138;Categoria 2;Subcategoria C2.2
"A)4`VTLP_IL'*2`KN?SAB""";Fornecedor 42;Produto 139;Categoria 2;Subcategoria C2.2
"O3KI\C]9<T3HY)P""\SJC!#";Fornecedor 42;Produto 140;Categoria 2;Subcategoria C2.2
"O3[-MF9(""`FHYE)Z4T[D:#";Fornecedor 42;Produto 141;Categoria 2;Subcategoria C2.2
"D!2WBHJQ',%`&(+.-;9;,-";Fornecedor 43;Produto 142;Categoria 2;Subcategoria C2.2
"D!B;3K&@M78`&DD%F;J\N(";Fornecedor 35;Produto 143;Categoria 2;Subcategoria C2.2
"DCFQS>T\+<8@2?K(NE&""/#";Fornecedor 44;Produto 144;Categoria 2;Subcategoria C2.2
"DC^G\B>BD-U@2IQ;3&`39!";Fornecedor 44;Produto 145;Categoria 2;Subcategoria C2.2
BO00XXAETG`2`)-*Z`#F-*;Fornecedor 44;Produto 146;Categoria 2;Subcategoria C2.2
O7\G5,G*,C=H0NJD8H+?\0;Fornecedor 41;Produto 147;Categoria 2;Subcategoria C2.2
"OY8C\X.3LJM(<#2=B1=Q""(";Fornecedor 41;Produto 148;Categoria 2;Subcategoria C2.2
O+QV!/`2DECHG0L$>[0&[/;Fornecedor 42;Produto 149;Categoria 2;Subcategoria C2.2
"D;49R0])2*8@`+'5..WWK.";Fornecedor 36;Produto 150;Categoria 2;Subcategoria C2.2
"D;D]B39XW5K@`G@,G.(9.*";Fornecedor 36;Produto 151;Categoria 2;Subcategoria C2.2
"D;TA36UF=A^@`#Z#`.9:G*";Fornecedor 36;Produto 152;Categoria 2;Subcategoria C2.2
"D;,8<:?,V2;@`-`6EO2LQ(";Fornecedor 36;Produto 153;Categoria 2;Subcategoria C2.2
"D/IP_8.OU1;@?S,R$`;*I0";Fornecedor 36;Produto 154;Categoria 2;Subcategoria C2.2
"D/1+Y?4#T@T@?9L\""AF=,/";Fornecedor 36;Produto 155;Categoria 2;Subcategoria C2.2
D/9=1ABZF&^@?'98/!/N],;Fornecedor 36;Produto 156;Categoria 2;Subcategoria C2.2
D/Q3:E,@_W:@?1?KTA(`'+;Fornecedor 36;Produto 157;Categoria 2;Subcategoria C2.2
GVA:GLGIHZT*K8,.*KYAA-;Fornecedor 35;Produto 158;Categoria 2;Subcategoria C2.2
G8NQ=6S#CVQJV1:/[3Z2%);Fornecedor 35;Produto 159;Categoria 2;Subcategoria C2.2
G8V#V7![5<[JV_&K'TBCV&;Fornecedor 45;Produto 160;Categoria 2;Subcategoria C2.2
"GZ*^&.+&:L.*""7GEH^/*Y,";Fornecedor 45;Produto 161;Categoria 2;Subcategoria C2.2
"K:KOQ;WZN.]&%/P93G4'Y+";Fornecedor 41;Produto 162;Categoria 2;Subcategoria C2.2
"K\?AA,)IG'JF0N=E""Q?+`%";Fornecedor 41;Produto 163;Categoria 2;Subcategoria C2.2
K\W7J0S.`*PF0XCXG19=*$;Fornecedor 41;Produto 164;Categoria 2;Subcategoria C2.2
"GNGGL7JBPK$*9?(0LR?$;*";Fornecedor 46;Produto 165;Categoria 2;Subcategoria C2.2
GNW+=:&16W7*9[A'%SP%T*;Fornecedor 46;Produto 166;Categoria 2;Subcategoria C2.2
"G0,&N00<:'KJD2""""F]=LV0";Fornecedor 41;Produto 167;Categoria 2;Subcategoria C2.2
G(*2=%U7&!^J:H(4>$=,Y.;Fornecedor 38;Produto 168;Categoria 2;Subcategoria C2.2
D(O?P[4IV40=`W'*?6-9F+;Fornecedor 40;Produto 169;Categoria 2;Subcategoria C2.2
"KH""8,!K^%XOF=*,@G*31H""";Fornecedor 43;Produto 170;Categoria 2;Subcategoria C2.2
KH:.5%5D>I,F=42S,K,CR0;Fornecedor 43;Produto 171;Categoria 2;Subcategoria C2.2
"K-"">MUI<($AHWGJ5C8=6H""";Fornecedor 38;Produto 172;Categoria 2;Subcategoria C2.2
D(7+L-+W+2V=`=G4=W7L)*;Fornecedor 40;Produto 173;Categoria 2;Subcategoria C2.2
"GR(*V""P!&FA*P?<IAG1!O(";Fornecedor 38;Produto 174;Categoria 2;Subcategoria C2.2
"K-Z+5T;E5>7HWY]Y6XT%W$";Fornecedor 38;Produto 175;Categoria 2;Subcategoria C2.2
"K-2"">X%+N/THW#$-\8N7!#";Fornecedor 38;Produto 176;Categoria 2;Subcategoria C2.2
GR8NF%,PKQT*P[U@ZGBB1$;Fornecedor 38;Produto 177;Categoria 2;Subcategoria C2.2
"K%HS3FDR;,7HEF9&W@E;=+";Fornecedor 36;Produto 178;Categoria 2;Subcategoria C2.2
"N/;Y2/,<MWY].#D43\\2_-";Fornecedor 41;Produto 179;Categoria 2;Subcategoria C2.2
N/#4,62PK&3].I#?1='FB,;Fornecedor 41;Produto 180;Categoria 2;Subcategoria C2.2
NACHGBAM_F<=B!V2U#=OA,;Fornecedor 35;Produto 181;Categoria 2;Subcategoria C2.2
"HE;,M7Z"".@-37,UIJ/_F%)";Fornecedor 41;Produto 182;Categoria 2;Subcategoria C2.2
"HES""V;DHF1J376[\/PXX/'";Fornecedor 41;Produto 183;Categoria 2;Subcategoria C2.2
"G$S08""+#046V*46V90W+Q!";Fornecedor 47;Produto 184;Categoria 1;Subcategoria C1.1
"G$;)-SPC@TLV*2=T""O;WT""";Fornecedor 48;Produto 185;Categoria 1;Subcategoria C1.1
F,>-QX$D4RF^-1W6V)PQ($;Fornecedor 49;Produto 186;Categoria 5;Subcategoria C5.1
O4X3:B-A/>C[(<L4+XZF#/;Fornecedor 15;Produto 187;Categoria 1;Subcategoria C1.1
"IIAOYJYQ>^CU""!(./!Y[Z)";Fornecedor 50;Produto 188;Categoria 5;Subcategoria C5.1
"II1+)H=#YR0U""]5*A^!SX0";Fornecedor 50;Produto 189;Categoria 5;Subcategoria C5.1
"OZ%G]''Q!:P;]0+OFOBF'&";Fornecedor 4;Produto 190;Categoria 1;Subcategoria C1.1
FQW>Z.]U!OP%RQ$N(C7XI+;Fornecedor 51;Produto 191;Categoria 1;Subcategoria C1.1
F3LRN5O7H$WE]X*&-O($:.;Fornecedor 51;Produto 192;Categoria 1;Subcategoria C1.1
"F,^$0S,');`^-9$H$).O6#";Fornecedor 50;Produto 193;Categoria 5;Subcategoria C5.1
"PQ;X/;E[>?@]POVG!19H*$";Fornecedor 52;Produto 194;Categoria 5;Subcategoria C5.1
FQONFC/R\E`%RKP>1%5OA&;Fornecedor 51;Produto 195;Categoria 1;Subcategoria C1.1
"F@,*KJXN+@C^9?CP369@"")";Fornecedor 53;Produto 196;Categoria 5;Subcategoria C5.1
"F""9#FJD\SXY>EX\L+""B;!.";Fornecedor 54;Produto 197;Categoria 5;Subcategoria C5.1
P3PR@1O&COS=\.DSP:DL1.;Fornecedor 50;Produto 198;Categoria 5;Subcategoria C5.1
"FI]-$0@BW\9%$'BC_;""7)/";Fornecedor 4;Produto 199;Categoria 1;Subcategoria C1.1
FI%@<1N9JBC%$M!N]\,JL-;Fornecedor 4;Produto 200;Categoria 1;Subcategoria C1.1
"F&BOF1`UP!Z>\N*S;6:F4)";Fornecedor 50;Produto 201;Categoria 5;Subcategoria C5.1
"F&:=.0R^];P>\`=7/VQ5C+";Fornecedor 50;Produto 202;Categoria 5;Subcategoria C5.1
"F&""G%,(9EJ3>\F]A-7\H&*";Fornecedor 50;Produto 203;Categoria 5;Subcategoria C5.1
JJ-XL]#1*\][F'![=204P0;Fornecedor 55;Produto 204;Categoria 5;Subcategoria C5.1
"JJ5*%_1(]A'[F94?1RG#_""";Fornecedor 55;Produto 205;Categoria 5;Subcategoria C5.1
"FJ1VZ.Y):(3>""$=OZ?\<0,";Fornecedor 56;Produto 206;Categoria 5;Subcategoria C5.1
F&B>D&0\93M>\^D5X46!G,;Fornecedor 53;Produto 207;Categoria 5;Subcategoria C5.1
"F(E%A4%9]TY^DKKEM=7[""/";Fornecedor 54;Produto 208;Categoria 5;Subcategoria C5.1
M-=ZI&.,$C`D,EU'YT7/`$;Fornecedor 57;Produto 209;Categoria 5;Subcategoria C5.1
P7AH8T@:''7=3S>5-/%H,,;Fornecedor 58;Produto 210;Categoria 5;Subcategoria C5.1
PY]T!LX<^\S]>`X\(YX<./;Fornecedor 59;Produto 211;Categoria 5;Subcategoria C5.1
"F+Z1,""`'C;0E/4\*[%V++""";Fornecedor 25;Produto 212;Categoria 1;Subcategoria C1.1
F*+3&SC2BS3>3=+H=KTS9%;Fornecedor 60;Produto 213;Categoria 5;Subcategoria C5.1
"FC0CQQ=];HWE92""?-`I/=0";Fornecedor 14;Produto 214;Categoria 1;Subcategoria C1.1
IW@#0BC#+3353=_APFBM.,;Fornecedor 53;Produto 215;Categoria 5;Subcategoria C5.1
E^J%@0?YD=SIG>_?57O0O(;Fornecedor 35;Produto 216;Categoria 2;Subcategoria C2.2
"E^BS'/1""RWIIGP2$)W&`]*";Fornecedor 35;Produto 217;Categoria 2;Subcategoria C2.2
E^ZI03[G*I&IGZ87N7`1();Fornecedor 35;Produto 218;Categoria 2;Subcategoria C2.2
G(4SAM0BE.SVSG.#O<X2H$;Fornecedor 61;Produto 219;Categoria 1;Subcategoria C1.1
GF?POQ.Z5GY6_&\.>F#WX);Fornecedor 62;Produto 220;Categoria 1;Subcategoria C1.1
"GF'+IX4.4DI6_L;9<'.*<(";Fornecedor 62;Produto 221;Categoria 1;Subcategoria C1.1
FQ=>'/N]ZCFP1$X6PI%%*0;Fornecedor 59;Produto 222;Categoria 5;Subcategoria C5.1
I_R*/EJ\MV&5!:U0M-/^]*;Fornecedor 57;Produto 223;Categoria 5;Subcategoria C5.1
"HAJ6UT(OI(J3`?MV_;`-&'";Fornecedor 42;Produto 224;Categoria 2;Subcategoria C2.2
"H&_R""W(BP@EBW.K%(?M@J-";Fornecedor 63;Produto 225;Categoria 7;Subcategoria C7.3
GMPEP!I`*!)%^3K'HF1<I0;Fornecedor 63;Produto 226;Categoria 7;Subcategoria C7.3
"H"">0Y+##;4?B@^\)VK_HZ0";Fornecedor 63;Produto 227;Categoria 7;Subcategoria C7.3
"HD""OZ$I\$""O""#X>D<)RV[%";Fornecedor 63;Produto 228;Categoria 7;Subcategoria C7.3
"G+\S`0722(<E)K+"")Q^""L&";Fornecedor 63;Produto 229;Categoria 7;Subcategoria C7.3
"G+TAH/);?B2E)]>F\06RZ(";Fornecedor 63;Produto 230;Categoria 7;Subcategoria C7.3
"GQALJO*.&'Y%5P88V;4:6/";Fornecedor 63;Produto 231;Categoria 7;Subcategoria C7.3
"EG`[5XLNU&\XPB:D43'""S""";Fornecedor 63;Produto 232;Categoria 7;Subcategoria C7.3
E)E:7Q2H?BB8EO@R:():7,;Fornecedor 63;Produto 233;Categoria 7;Subcategoria C7.3
"E)UM%I^<N_H8E+ZIS(:;P,";Fornecedor 63;Produto 234;Categoria 7;Subcategoria C7.3
"E-60/4$\#Z%8\;HE%\'S6.";Fornecedor 63;Produto 235;Categoria 7;Subcategoria C7.3
"E?F1\HG$)/RX""(2\G*N[D)";Fornecedor 63;Produto 236;Categoria 7;Subcategoria C7.3
"E?.;SD]>P=5X"".F+?HP$M.";Fornecedor 63;Produto 237;Categoria 7;Subcategoria C7.3
E!KG<<5AG3R8W,+Y?`16[#;Fornecedor 64;Produto 238;Categoria 7;Subcategoria C7.3
"D?_.ZZB%P[+GN>C[YXUA;*";Fornecedor 65;Produto 239;Categoria 7;Subcategoria C7.3
"H8OK.&T-J,""""^""BMXLQ&],";Fornecedor 65;Produto 240;Categoria 7;Subcategoria C7.3
"H@Q??1/2^2O""LC^D<3-63+";Fornecedor 63;Produto 241;Categoria 7;Subcategoria C7.3
O1::$)+\6-K-9QH$`C#9&+;Fornecedor 66;Produto 242;Categoria 3;Subcategoria C3.3
"G`WYNV>BI1EV)I_V]""A1T(";Fornecedor 67;Produto 243;Categoria 3;Subcategoria C3.3
"EW5<SR.""&><BD2V,#3L75&";Fornecedor 68;Produto 244;Categoria 3;Subcategoria C3.3
PS2M!UL1Y<6%L<AE8NLOW*;Fornecedor 63;Produto 245;Categoria 7;Subcategoria C7.3
"BZ8..;B,.]/DA1'F1TER,.";Fornecedor 65;Produto 246;Categoria 7;Subcategoria C7.3
P+N+83Y5^>)%QWIW)W>5*&;Fornecedor 63;Produto 247;Categoria 7;Subcategoria C7.3
